Episode,Top 1,Top 2,Top 3,Top 5,Top 10,Top k,n_BM,n_ABS,n_GU,Collect Strategy,Method,Explore:Serve
0,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
1,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
2,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
3,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
4,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
5,0.0,0.0,0.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
6,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
7,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
8,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
9,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
10,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
11,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
12,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
13,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
14,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
15,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
16,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
17,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
18,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
19,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
20,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
21,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
22,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
23,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
24,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
25,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
26,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
27,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
28,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
29,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
30,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
31,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
32,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
33,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
34,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
35,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
36,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
37,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
38,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
39,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
40,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
41,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
42,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
43,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
44,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
45,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
46,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
47,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
48,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
49,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
50,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
51,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
52,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
53,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
54,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
55,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
56,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
57,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
58,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
59,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
60,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
61,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
62,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
63,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
64,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
65,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
66,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
67,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
68,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
69,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
70,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
71,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
72,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
73,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
74,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
75,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
76,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
77,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
78,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
79,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
80,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
81,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
82,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
83,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
84,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
85,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
86,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
87,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
88,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
89,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
90,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
91,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
92,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
93,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
94,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
95,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
96,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
97,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
98,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
